,loss_per_100_songs,epoch_training_time
0,"[10.561685562133789, 6.6313700675964355, 6.284126281738281, 5.991541385650635, 6.303682327270508, 5.112462997436523, 7.360085964202881, 4.8002848625183105, 5.964350700378418, 5.047554969787598, 6.791836261749268, 7.1402459144592285, 4.931159019470215, 6.219144344329834, 6.831417083740234, 4.471867561340332, 5.643314838409424, 4.314657211303711, 6.300968170166016, 5.1621317863464355, 4.27939510345459, 6.681487560272217, 5.516037940979004, 4.915293216705322, 5.314975261688232, 4.467100143432617, 5.388763427734375, 5.892803192138672, 4.92872428894043, 4.720978736877441, 4.726240158081055, 5.1707563400268555, 5.276580333709717, 5.19473123550415, 5.093690395355225, 4.67943811416626, 5.115137577056885, 5.019392490386963, 5.3634843826293945, 5.992074966430664, 4.82951545715332, 4.194045543670654, 4.818648338317871, 6.1848859786987305, 5.182186603546143, 6.68504524230957, 4.456303596496582, 4.335528373718262, 5.216330051422119, 5.800760269165039, 4.731574058532715, 5.154265403747559, 5.482467174530029, 5.832420349121094, 5.462931156158447, 5.105337619781494, 4.688992023468018, 4.746899127960205, 4.619037628173828, 6.871267318725586, 5.521989345550537, 7.005816459655762, 4.802872180938721, 4.968510627746582, 6.970449447631836, 4.707676410675049, 4.996472358703613, 6.92657470703125, 5.5048041343688965, 4.821290493011475, 4.743165016174316, 5.002535820007324, 7.686861991882324, 5.71616792678833, 6.319216251373291, 5.8005781173706055, 6.018232822418213, 4.845176696777344, 5.897078990936279, 4.784266471862793, 4.087519645690918, 4.5374603271484375, 4.730414867401123, 5.609842777252197, 5.924147605895996, 4.621371746063232, 4.4618730545043945, 5.218733787536621, 4.793735980987549, 5.764726161956787, 4.99654483795166, 5.056848049163818, 6.033767223358154, 5.490573406219482, 6.0990800857543945, 5.031882286071777, 5.4362568855285645, 4.669617652893066, 4.255118370056152, 5.232596397399902, 5.385522842407227, 5.015878200531006, 5.874141216278076, 5.188919544219971, 6.002551555633545, 7.098902702331543, 6.008952617645264]",-416.2504484653473
1,"[7.753509044647217, 5.655674934387207, 5.198022842407227, 5.343474864959717, 5.249611854553223, 4.550912380218506, 5.689764499664307, 4.169503211975098, 5.429349899291992, 4.39319372177124, 6.135798454284668, 6.244503498077393, 4.5421319007873535, 5.717891693115234, 6.253507614135742, 4.193478107452393, 5.581112861633301, 3.9701192378997803, 5.856215953826904, 4.958261489868164, 4.108850002288818, 5.970081806182861, 5.146963119506836, 4.83273458480835, 5.109697341918945, 4.605321407318115, 5.221987724304199, 5.141733169555664, 4.895558834075928, 4.511781692504883, 4.309307098388672, 4.931023597717285, 5.127063274383545, 4.877536296844482, 4.868871688842773, 4.496317386627197, 5.000945091247559, 4.916811466217041, 5.1796979904174805, 5.752709865570068, 4.903632640838623, 4.023385524749756, 4.765469551086426, 5.796146392822266, 4.875532150268555, 5.965697288513184, 4.296710014343262, 4.256108283996582, 4.974395751953125, 5.615797996520996, 4.502626895904541, 5.175425052642822, 5.368084907531738, 5.294994354248047, 4.9669013023376465, 5.007849216461182, 4.732292175292969, 4.791898250579834, 4.673280715942383, 6.161687850952148, 5.392079830169678, 6.505131244659424, 4.634154319763184, 4.888195037841797, 5.519819736480713, 4.842700004577637, 4.915665626525879, 6.614243984222412, 5.37730598449707, 4.885805130004883, 4.815304756164551, 4.807847023010254, 6.673513412475586, 5.2561163902282715, 6.044731140136719, 5.547768592834473, 5.554025650024414, 4.542218208312988, 5.870109558105469, 4.678049564361572, 3.930262327194214, 4.36976957321167, 4.559261322021484, 5.388167858123779, 5.727480888366699, 4.482184410095215, 4.466917037963867, 5.406599044799805, 4.6623735427856445, 5.407379627227783, 4.980574607849121, 4.814820289611816, 5.783872127532959, 5.456962585449219, 5.7021918296813965, 4.895389080047607, 5.200309753417969, 4.510697364807129, 4.055079460144043, 4.9635396003723145, 4.998393535614014, 4.87172794342041, 5.54091215133667, 5.57341194152832, 5.723808288574219, 6.416107654571533, 5.487672328948975]",-414.6385717391968
2,"[7.325985908508301, 5.513021469116211, 4.953428268432617, 5.258820056915283, 5.520893573760986, 4.558867931365967, 4.997885704040527, 4.1294026374816895, 5.274664402008057, 4.263128280639648, 5.654662132263184, 5.892498016357422, 4.531213283538818, 5.673926830291748, 5.839454174041748, 4.197542667388916, 5.422791957855225, 4.007564067840576, 5.515486717224121, 5.013487815856934, 4.142452716827393, 5.726441860198975, 4.953559875488281, 4.844860076904297, 5.055598735809326, 4.242714881896973, 5.191831588745117, 5.118253707885742, 4.8021697998046875, 4.5871124267578125, 4.063621520996094, 4.8824310302734375, 4.983517646789551, 4.697953224182129, 4.737844467163086, 4.538012504577637, 5.076879978179932, 4.996822357177734, 5.067330360412598, 5.6267595291137695, 4.817449569702148, 4.034369468688965, 4.703042984008789, 5.4811692237854, 4.899336338043213, 5.469119071960449, 4.057640552520752, 4.151319980621338, 4.915602684020996, 5.598075866699219, 4.594778060913086, 4.9584150314331055, 5.114723205566406, 5.037312984466553, 4.854790687561035, 5.033541679382324, 4.709960460662842, 4.7510809898376465, 4.465725421905518, 5.845465183258057, 5.109444618225098, 6.036176681518555, 4.646600723266602, 4.500699996948242, 5.15719747543335, 4.842206001281738, 4.913758754730225, 6.385181427001953, 5.347328186035156, 4.570338249206543, 4.696671009063721, 4.702584743499756, 6.0800042152404785, 5.015329360961914, 6.116151809692383, 5.483432292938232, 5.275574207305908, 4.362060546875, 5.768186092376709, 4.663329124450684, 4.021992206573486, 4.377255916595459, 4.5756916999816895, 5.496852874755859, 5.666759967803955, 4.398558616638184, 4.463445663452148, 5.134913921356201, 4.596384048461914, 5.150465965270996, 4.839615821838379, 4.718898773193359, 5.482335090637207, 5.360533237457275, 5.547769069671631, 5.007940769195557, 5.038776874542236, 4.545566082000732, 4.080611228942871, 4.9239821434021, 4.8718461990356445, 4.8428754806518555, 5.1538987159729, 5.288603782653809, 5.6878557205200195, 5.864847660064697, 5.283756256103516]",-413.4257619380951
3,"[6.899022102355957, 5.340940475463867, 4.8888139724731445, 5.009968280792236, 5.004365921020508, 4.633914470672607, 4.671245574951172, 4.065286636352539, 5.153611660003662, 4.275640964508057, 5.278162002563477, 5.706938743591309, 4.473697185516357, 5.633099555969238, 5.594503402709961, 4.132153511047363, 5.392577648162842, 3.9277374744415283, 5.366358757019043, 4.930017471313477, 4.076591491699219, 5.575516700744629, 4.749258995056152, 4.7449469566345215, 4.8953447341918945, 4.2131524085998535, 5.068849563598633, 4.886645793914795, 4.75892972946167, 4.314929485321045, 4.1518402099609375, 4.780839920043945, 4.742833614349365, 4.6723222732543945, 4.638925075531006, 4.493692874908447, 4.830414772033691, 5.001840591430664, 5.0227508544921875, 5.4920477867126465, 4.867600440979004, 3.9877209663391113, 4.539026737213135, 5.396911144256592, 4.827343940734863, 5.375069618225098, 4.119164943695068, 4.186833381652832, 4.9194464683532715, 5.617122650146484, 4.5381245613098145, 4.839995861053467, 5.188112258911133, 4.8917670249938965, 4.751338958740234, 4.886301040649414, 4.632709980010986, 4.732050895690918, 4.650721549987793, 5.7928619384765625, 4.997819900512695, 5.8958210945129395, 4.620781421661377, 4.518423557281494, 5.015465259552002, 4.879515647888184, 4.911205768585205, 6.162084102630615, 5.230788230895996, 4.865021705627441, 4.685901165008545, 4.7387824058532715, 7.347838401794434, 5.097724437713623, 5.915347099304199, 5.390626430511475, 5.3211188316345215, 4.311758995056152, 5.746629238128662, 4.515434265136719, 3.98248028755188, 4.30809211730957, 4.421224117279053, 5.276388168334961, 5.539050102233887, 4.358433246612549, 4.44688081741333, 4.930172443389893, 4.4131269454956055, 4.932586193084717, 4.811454772949219, 4.586716175079346, 5.419051647186279, 5.228321552276611, 5.269969940185547, 4.894916534423828, 4.947394847869873, 4.450231075286865, 3.902304172515869, 4.676326274871826, 4.7864556312561035, 4.706357002258301, 4.803593635559082, 5.002793788909912, 5.598031044006348, 5.677766799926758, 5.148593902587891]",-415.5194933414459
4,"[6.70314884185791, 5.256981372833252, 4.752690315246582, 4.962386608123779, 4.985908508300781, 4.6039276123046875, 4.4805684089660645, 4.348074436187744, 5.0434088706970215, 4.218869686126709, 5.249765396118164, 5.657107830047607, 4.480448246002197, 5.496219635009766, 5.370903015136719, 4.085376739501953, 5.295025825500488, 4.030629634857178, 5.258214950561523, 4.944697380065918, 3.996370792388916, 5.574334144592285, 4.782118320465088, 4.797834873199463, 4.914145469665527, 4.22166633605957, 5.063424110412598, 4.853013515472412, 4.693678379058838, 4.365023612976074, 4.118561744689941, 4.789317607879639, 4.6358866691589355, 4.714041709899902, 4.774569511413574, 4.493855953216553, 4.781089782714844, 4.869152069091797, 4.943726062774658, 5.712586879730225, 4.875715255737305, 4.1393961906433105, 4.569504261016846, 5.3689069747924805, 4.842154502868652, 5.227426052093506, 4.000589370727539, 4.299428462982178, 4.994243621826172, 5.502724647521973, 4.568206787109375, 4.865963935852051, 5.130749702453613, 5.11366081237793, 4.6564226150512695, 4.9161481857299805, 4.597330093383789, 4.701022624969482, 4.578099250793457, 5.648402214050293, 4.981094837188721, 5.709856033325195, 4.588305950164795, 4.5087890625, 4.917145729064941, 4.963985443115234, 4.824070453643799, 6.134082317352295, 5.124326705932617, 4.531196594238281, 4.641191005706787, 4.68931245803833, 5.687741756439209, 5.048510551452637, 5.821361541748047, 5.362174034118652, 5.088512420654297, 4.159287452697754, 5.752447605133057, 4.689193248748779, 4.450778961181641, 4.314028263092041, 4.466906547546387, 5.1735076904296875, 5.5128254890441895, 4.388955593109131, 4.4640679359436035, 4.867204189300537, 4.4909868240356445, 5.022835731506348, 4.838588714599609, 4.60959529876709, 5.354479789733887, 5.262330055236816, 5.221667289733887, 4.737736701965332, 4.927041053771973, 4.391693115234375, 4.0178704261779785, 4.653158664703369, 4.642675876617432, 4.631562232971191, 4.748775482177734, 5.130751609802246, 5.57916259765625, 5.707318305969238, 5.156578063964844]",-415.5276401042938
5,"[6.6588897705078125, 5.250816822052002, 4.680546283721924, 4.984485626220703, 4.802923679351807, 4.595431804656982, 4.3520684242248535, 4.115936756134033, 5.011124610900879, 4.131451606750488, 5.111425399780273, 5.5689005851745605, 4.524118423461914, 5.581143379211426, 5.3560075759887695, 4.019269943237305, 5.279956340789795, 3.992117166519165, 5.201314926147461, 4.875904560089111, 4.036623477935791, 5.538881778717041, 4.7872185707092285, 4.77591609954834, 4.902155876159668, 4.415122985839844, 5.058438301086426, 4.816090106964111, 4.864387035369873, 4.392520427703857, 4.190500736236572, 4.68599271774292, 4.7088942527771, 4.77031946182251, 4.660491943359375, 4.549135208129883, 4.709931373596191, 4.891443252563477, 4.996657848358154, 5.380752086639404, 4.850499153137207, 4.116641521453857, 4.524057865142822, 5.2219462394714355, 4.729047775268555, 5.156703948974609, 3.994683265686035, 4.245388984680176, 5.0270466804504395, 5.468344211578369, 4.622473239898682, 5.2117919921875, 5.204371929168701, 4.602926731109619, 4.6510701179504395, 4.9349775314331055, 4.618951320648193, 4.941577434539795, 4.56483793258667, 5.730791091918945, 5.048182487487793, 5.646035194396973, 4.7282586097717285, 4.503735065460205, 4.884644985198975, 5.018289566040039, 4.847437381744385, 6.029953479766846, 5.108360290527344, 4.646688461303711, 4.7026801109313965, 4.5987348556518555, 5.4502339363098145, 4.9345269203186035, 5.715949058532715, 5.336318016052246, 5.178727149963379, 4.251308917999268, 5.7067155838012695, 4.72412633895874, 4.179568290710449, 4.39805269241333, 4.381297588348389, 5.231014728546143, 5.426452159881592, 4.310693740844727, 4.4780073165893555, 4.946375846862793, 4.634830474853516, 4.912708282470703, 4.853748798370361, 4.525391101837158, 5.481292247772217, 5.240680694580078, 5.223936080932617, 4.813900470733643, 4.965391159057617, 4.317446231842041, 4.094865798950195, 4.674311637878418, 4.578420639038086, 4.652957439422607, 4.706369400024414, 5.162306785583496, 5.510655879974365, 5.7804789543151855, 5.1031975746154785]",-414.0657467842102
6,"[6.539687156677246, 5.20196533203125, 4.8354105949401855, 4.856680393218994, 4.816383361816406, 4.636209487915039, 4.131336212158203, 4.09964656829834, 5.284448623657227, 4.198879718780518, 5.004853248596191, 5.595524311065674, 4.5167927742004395, 5.557220458984375, 5.356603145599365, 4.105601787567139, 5.142654895782471, 4.044480800628662, 5.182945251464844, 4.8893866539001465, 4.157376289367676, 5.4688801765441895, 4.795094013214111, 4.70844841003418, 4.955082416534424, 4.3159379959106445, 5.092509746551514, 4.739653587341309, 4.655799388885498, 4.4007086753845215, 4.030818939208984, 4.703686714172363, 4.648824691772461, 4.833630084991455, 4.648025989532471, 4.5437726974487305, 4.81771993637085, 5.00687837600708, 4.986629009246826, 5.348570823669434, 4.823422908782959, 4.111696720123291, 4.486237525939941, 5.219901084899902, 4.694900035858154, 4.991757392883301, 4.020605087280273, 4.310987949371338, 5.016297817230225, 5.535738468170166, 4.562209129333496, 4.893784523010254, 5.115353584289551, 4.9774065017700195, 4.683587074279785, 4.868168354034424, 4.616405963897705, 4.800122261047363, 4.563460826873779, 5.668030738830566, 4.991303443908691, 5.559367656707764, 4.6781110763549805, 4.533626556396484, 4.799583435058594, 4.895743370056152, 4.77112340927124, 6.086915493011475, 5.075169086456299, 4.585351943969727, 4.677326679229736, 4.5234375, 5.200944900512695, 4.8922200202941895, 5.545656681060791, 5.236428737640381, 5.234348297119141, 4.086023807525635, 5.697607517242432, 4.560913562774658, 3.916644334793091, 4.378101348876953, 4.344959259033203, 5.262912750244141, 5.342690944671631, 4.295154094696045, 4.418402194976807, 4.759493350982666, 4.610957622528076, 4.810173034667969, 4.629093647003174, 4.444448471069336, 5.322843551635742, 5.196862697601318, 5.232253074645996, 4.776453495025635, 4.936177730560303, 4.300290107727051, 4.125070571899414, 4.581489562988281, 4.466160297393799, 4.562681198120117, 4.741039276123047, 5.001931190490723, 5.507937431335449, 5.777681827545166, 5.048948764801025]",-411.37268114089966
7,"[6.372979164123535, 5.215912818908691, 4.828266143798828, 4.813399314880371, 4.921621799468994, 4.656824588775635, 3.9562835693359375, 4.113884925842285, 5.0325188636779785, 4.167304039001465, 5.03556489944458, 5.474391937255859, 4.498979091644287, 5.49464750289917, 5.35067081451416, 4.068482398986816, 5.126344680786133, 3.9870104789733887, 5.0634236335754395, 4.91080904006958, 4.091737747192383, 5.4246110916137695, 4.781538963317871, 4.775729656219482, 4.951855659484863, 4.504426002502441, 5.035855770111084, 4.685849189758301, 4.675105094909668, 4.420509338378906, 3.8834733963012695, 4.641153335571289, 4.655438423156738, 4.79815673828125, 4.551437854766846, 4.487273216247559, 4.743308067321777, 5.032992839813232, 4.847347259521484, 5.270613670349121, 4.809365272521973, 4.184502124786377, 4.498502731323242, 5.108059406280518, 4.655499458312988, 4.8944549560546875, 3.9617655277252197, 4.272338390350342, 4.983913421630859, 5.462023735046387, 4.484313011169434, 4.85836935043335, 5.101776123046875, 4.611767292022705, 4.6305155754089355, 4.895307540893555, 4.632085800170898, 4.731329917907715, 4.5057373046875, 5.712066173553467, 4.95868444442749, 5.685428142547607, 4.639342308044434, 4.469639301300049, 4.668171405792236, 4.863680362701416, 4.7833757400512695, 5.96094274520874, 5.047919273376465, 4.624577522277832, 4.60095739364624, 4.6008758544921875, 5.0902276039123535, 4.745838165283203, 5.466137409210205, 5.272132873535156, 5.090334892272949, 4.058504104614258, 5.665205478668213, 4.6413726806640625, 3.882935047149658, 4.457820892333984, 4.45339822769165, 5.162912368774414, 5.348598957061768, 4.306778907775879, 4.45522403717041, 4.824069976806641, 4.5495285987854, 4.770748615264893, 4.564480781555176, 4.474969863891602, 5.242608547210693, 5.275169849395752, 5.120284080505371, 4.762310981750488, 4.895040988922119, 4.279211044311523, 4.058122158050537, 4.53941535949707, 4.489920139312744, 4.580285549163818, 4.6216864585876465, 5.065640449523926, 5.490240573883057, 5.769508361816406, 4.968881130218506]",-412.90640115737915
8,"[6.4617156982421875, 5.171672821044922, 4.858415603637695, 4.795283794403076, 4.927063941955566, 4.626724720001221, 4.029474258422852, 4.181020259857178, 4.929024696350098, 4.24797248840332, 5.071110248565674, 5.48727560043335, 4.45530891418457, 5.55247163772583, 5.334170341491699, 4.107470989227295, 5.145509243011475, 3.9706132411956787, 5.036240577697754, 4.883275508880615, 4.064608097076416, 5.427070617675781, 4.700448989868164, 4.7793731689453125, 4.876578330993652, 4.531818389892578, 5.040299415588379, 4.617335796356201, 4.684718132019043, 4.419912338256836, 3.84366512298584, 4.608889579772949, 4.632904052734375, 4.854404449462891, 4.520655155181885, 4.51472282409668, 4.742530822753906, 4.826295375823975, 4.872661590576172, 5.389288425445557, 4.846635818481445, 4.190394401550293, 4.454273223876953, 5.062102317810059, 4.6895904541015625, 4.885905742645264, 4.045234203338623, 4.277349472045898, 5.00055456161499, 5.508354187011719, 4.521585464477539, 4.839452743530273, 5.154885292053223, 4.5339274406433105, 4.685588359832764, 4.913910388946533, 4.586573123931885, 4.723086833953857, 4.522450923919678, 5.592369556427002, 4.961706161499023, 5.48798131942749, 4.760224342346191, 4.493753433227539, 4.792552471160889, 4.9647603034973145, 4.741543769836426, 5.950277328491211, 4.974244117736816, 4.529979705810547, 4.632806777954102, 4.54366397857666, 4.959244728088379, 4.785798072814941, 5.422141075134277, 5.255769729614258, 5.069558143615723, 4.066060543060303, 5.729433059692383, 4.679652214050293, 3.7937138080596924, 4.536048412322998, 4.479992866516113, 5.183354377746582, 5.3063883781433105, 4.273943901062012, 4.420554161071777, 4.796036243438721, 4.522577285766602, 4.684748649597168, 4.598808288574219, 4.4687981605529785, 5.177046775817871, 5.244546890258789, 5.165874481201172, 4.741030216217041, 4.88612699508667, 4.438839435577393, 4.094062328338623, 4.55167293548584, 4.456644058227539, 4.614310264587402, 4.5901947021484375, 4.894330978393555, 5.459893703460693, 5.721222400665283, 5.003623962402344]",-417.6029121875763
9,"[6.526113510131836, 5.107245445251465, 4.799161434173584, 4.727501392364502, 4.835509777069092, 4.607775688171387, 4.062465667724609, 4.167500972747803, 4.982761859893799, 4.230529308319092, 4.988945007324219, 5.441740036010742, 4.445075035095215, 5.534685134887695, 5.276885032653809, 4.107483863830566, 5.18668270111084, 4.024406433105469, 5.081449031829834, 4.843400955200195, 4.09126091003418, 5.308093070983887, 4.5647172927856445, 4.8362579345703125, 4.821972846984863, 4.478188991546631, 5.081222057342529, 4.715468883514404, 4.6187920570373535, 4.363063335418701, 3.8456225395202637, 4.59981107711792, 4.608272552490234, 4.83133602142334, 4.49987268447876, 4.549877643585205, 4.750671863555908, 4.8710808753967285, 4.885233402252197, 5.39655065536499, 4.82984733581543, 4.195030212402344, 4.473995208740234, 5.03939962387085, 4.737592697143555, 4.744287967681885, 4.116156578063965, 4.3106689453125, 5.034969329833984, 5.533873558044434, 4.558804035186768, 4.808795928955078, 5.097456455230713, 4.529141902923584, 4.563392639160156, 4.9093708992004395, 4.588426113128662, 4.722796440124512, 4.436461448669434, 5.538470268249512, 4.964521884918213, 5.4635138511657715, 4.712175369262695, 4.506791114807129, 4.807408332824707, 4.969753265380859, 4.802067279815674, 5.857082843780518, 5.102892875671387, 4.476532459259033, 4.632916450500488, 4.557505130767822, 4.874183654785156, 4.763977527618408, 5.479172706604004, 5.32690954208374, 4.944026947021484, 4.074485778808594, 5.700659275054932, 4.636734485626221, 3.8545737266540527, 4.400506496429443, 4.461907863616943, 5.176311016082764, 5.260343551635742, 4.232254505157471, 4.340792179107666, 4.859654903411865, 4.560089111328125, 4.762960433959961, 4.685302734375, 4.428110599517822, 5.225643157958984, 5.263861656188965, 5.083542346954346, 4.819960117340088, 4.882813453674316, 4.272153377532959, 4.0246052742004395, 4.597990036010742, 4.406385898590088, 4.532047271728516, 4.471726894378662, 4.9215521812438965, 5.455453395843506, 5.671580791473389, 4.969233989715576]",-417.31058716773987
